split,image,bolt_boxes,nut_boxes,review_status
train,arg_11_jpeg_jpg.rf.30b9dac7a2677acf15e6d158ac8b7472.jpg,19,20,source_annotation_pending_spot_check
train,arg_12_jpeg_jpg.rf.2fa78272d4d9d2bb090408fa7aaf6696.jpg,7,20,source_annotation_pending_spot_check
train,arg_13_jpeg_jpg.rf.02b7190e973457b4d9bf367525e64ff4.jpg,22,15,source_annotation_pending_spot_check
train,arg_15_jpeg_jpg.rf.0db90bc35dbfeedf3046a3b67fd5e9cb.jpg,19,6,source_annotation_pending_spot_check
train,arg_17_jpeg_jpg.rf.79ce3b2e68c64d7b2c7d729242b023b7.jpg,12,19,source_annotation_pending_spot_check
train,arg_1_jpeg_jpg.rf.15535555c736eba838bdc0a0cafa28b6.jpg,17,12,source_annotation_pending_spot_check
train,arg_3_jpeg_jpg.rf.21a5a0ec276a4a671d749b89e176f421.jpg,17,14,source_annotation_pending_spot_check
train,arg_4_jpeg_jpg.rf.1cba0e2e5c61517aebfe91346295d878.jpg,18,12,source_annotation_pending_spot_check
train,arg_5_jpeg_jpg.rf.19630385bc7a2800165e323aa56be765.jpg,15,16,source_annotation_pending_spot_check
train,arg_7_jpeg_jpg.rf.0c8e21e6d3d6806438e0bc43dafa92ab.jpg,32,20,source_annotation_pending_spot_check
train,arg_9_jpeg_jpg.rf.096d0616adecb977fef0a8cb881da36a.jpg,13,17,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_10_jpeg_jpg.rf.0bd268a4d718c2e2f29a4cbd3931be41.jpg,26,19,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_11_jpeg_jpg.rf.0e9bd43a572f0f906257ea67d1f820c9.jpg,22,16,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_12_jpeg_jpg.rf.17c050e0ec37eacbee1bc1766d069c7c.jpg,21,24,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_13_jpeg_jpg.rf.09fe6e5d9a7995f7591fec6485ad70b2.jpg,7,4,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_14_jpeg_jpg.rf.1a2ba4f6c39d24c5eed4eab0acc2fcc8.jpg,16,14,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_15_jpeg_jpg.rf.01526adfbcaf566c6ac6f172d53a341a.jpg,23,17,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_18_jpeg_jpg.rf.0efa0a7c15742325f485aee7970075df.jpg,6,2,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_1_jpeg_jpg.rf.30489a70c97a9e4534eae7fb6a534ad5.jpg,25,15,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_20_jpeg_jpg.rf.1ff5d4510e141ccfdec2270982f12a96.jpg,38,11,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_23_jpeg_jpg.rf.13de3b9ffc5ed045cd72d7c5ceb1ffad.jpg,12,25,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_24_jpeg_jpg.rf.424a83866b25731720aeb616472cd01d.jpg,37,21,source_annotation_pending_spot_check
