epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.0172,0.38333,0.95367,1,0.1221,0.000475063,0.000475063,0.000475063
2,76.1216,0.1356,0.962,1,0.11037,0.000913721,0.000913721,0.000913721
3,113.418,0.1175,0.96267,1,0.1018,0.00131465,0.00131465,0.00131465
4,151.323,0.11494,0.93233,1,0.1794,0.00125923,0.00125923,0.00125923
5,188.609,0.10006,0.96433,1,0.11231,0.00120265,0.00120265,0.00120265
6,225.621,0.09634,0.96867,1,0.08414,0.00114606,0.00114606,0.00114606
7,262.559,0.08092,0.95533,1,0.11939,0.00108947,0.00108947,0.00108947
8,299.822,0.07756,0.96933,1,0.09638,0.00103288,0.00103288,0.00103288
9,337.546,0.06859,0.96467,1,0.13886,0.000976293,0.000976293,0.000976293
10,374.586,0.07076,0.97167,1,0.08225,0.000919704,0.000919704,0.000919704
11,411.639,0.0626,0.96833,1,0.10781,0.000863116,0.000863116,0.000863116
12,448.979,0.05986,0.97167,1,0.09102,0.000806528,0.000806528,0.000806528
13,486.09,0.05193,0.97633,1,0.07718,0.000749939,0.000749939,0.000749939
14,522.876,0.04518,0.972,1,0.0788,0.000693351,0.000693351,0.000693351
15,559.972,0.048,0.97467,1,0.07476,0.000636762,0.000636762,0.000636762
16,604.049,0.03974,0.97967,1,0.05561,0.000580174,0.000580174,0.000580174
17,640.635,0.03415,0.97433,1,0.07576,0.000523586,0.000523586,0.000523586
18,677.22,0.03266,0.97633,1,0.08819,0.000466997,0.000466997,0.000466997
19,713.757,0.03231,0.975,1,0.08101,0.000410409,0.000410409,0.000410409
20,750.519,0.02901,0.97767,1,0.06817,0.00035382,0.00035382,0.00035382
21,787.799,0.02541,0.98267,1,0.05544,0.000297232,0.000297232,0.000297232
22,824.743,0.02594,0.984,1,0.06611,0.000240644,0.000240644,0.000240644
23,861.447,0.02021,0.98233,1,0.05833,0.000184055,0.000184055,0.000184055
24,898.183,0.01952,0.98467,1,0.05666,0.000127467,0.000127467,0.000127467
25,934.93,0.01856,0.97967,1,0.07028,7.08784e-05,7.08784e-05,7.08784e-05
