epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.3264,0.67041,0.85933,1,0.36897,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889
2,167.694,0.31021,0.898,1,0.26363,0.019547,0.00651565,0.019547,0.00651565,0.019547,0.00651565,0.019547,0.00651565
3,251.749,0.25972,0.89378,1,0.28385,0.0286673,0.00955575,0.0286673,0.00955575,0.0286673,0.00955575,0.0286673,0.00955575
4,334.426,0.2397,0.906,1,0.25633,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
5,416.751,0.20134,0.90267,1,0.29096,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912
6,506.879,0.18302,0.91889,1,0.2181,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
7,603.198,0.16312,0.93089,1,0.20223,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
8,696.653,0.14777,0.92622,1,0.2023,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846
9,784.611,0.1421,0.92467,1,0.24142,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824
10,876.166,0.1262,0.92622,1,0.22181,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
11,967.572,0.11912,0.91867,1,0.23621,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078
12,1056.85,0.11187,0.92867,1,0.20003,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758
13,1146.7,0.11027,0.92178,1,0.24048,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
14,1236.72,0.10155,0.93133,1,0.21482,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714
15,1328.65,0.0998,0.932,1,0.22076,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692
16,1415.08,0.09402,0.93533,1,0.20282,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
17,1502.01,0.08754,0.93267,1,0.20689,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648
18,1595.3,0.08254,0.93178,1,0.22366,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626
19,1690.88,0.08035,0.93933,1,0.20183,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
20,1787.26,0.07905,0.93311,1,0.24039,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582
21,1883.1,0.07495,0.93622,1,0.22844,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056
22,1979.53,0.06891,0.93533,1,0.22416,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
23,2076.9,0.06691,0.942,1,0.22692,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516
24,2168.31,0.06017,0.93822,1,0.23213,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494
25,2259.73,0.06274,0.93511,1,0.24418,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
26,2356.82,0.05658,0.93533,1,0.24077,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045
27,2454.19,0.05375,0.93556,1,0.2416,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428
28,2552.78,0.05118,0.93644,1,0.2519,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
29,2655.63,0.04704,0.93889,1,0.23697,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384
30,2757.65,0.04258,0.94022,1,0.2457,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362
31,2857.07,0.04179,0.93889,1,0.24112,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
32,2956.78,0.03752,0.93867,1,0.24545,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318
33,3053.8,0.03581,0.93867,1,0.24501,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296
