epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.2952,0.52283,0.922,1,0.24602,0.000475063,0.000475063,0.000475063
2,70.135,0.18655,0.91833,1,0.25865,0.00092,0.00092,0.00092
3,103.57,0.16757,0.93,1,0.21477,0.0013335,0.0013335,0.0013335
4,136.934,0.15467,0.93167,1,0.2221,0.00128753,0.00128753,0.00128753
5,170.645,0.13237,0.94833,1,0.18146,0.00124037,0.00124037,0.00124037
6,204.328,0.12381,0.948,1,0.19648,0.00119322,0.00119322,0.00119322
7,238.482,0.1081,0.95433,1,0.16625,0.00114606,0.00114606,0.00114606
8,272.047,0.10316,0.949,1,0.18411,0.0010989,0.0010989,0.0010989
9,305.599,0.09129,0.953,1,0.17026,0.00105174,0.00105174,0.00105174
10,339.27,0.08242,0.951,1,0.18875,0.00100459,0.00100459,0.00100459
11,372.442,0.08422,0.953,1,0.14032,0.00095743,0.00095743,0.00095743
12,405.721,0.07782,0.95633,1,0.16729,0.000910273,0.000910273,0.000910273
13,439.532,0.07016,0.956,1,0.14214,0.000863116,0.000863116,0.000863116
14,473.127,0.06897,0.95167,1,0.1891,0.000815959,0.000815959,0.000815959
15,506.572,0.06334,0.95,1,0.18196,0.000768802,0.000768802,0.000768802
16,539.692,0.06207,0.95,1,0.17734,0.000721645,0.000721645,0.000721645
17,572.866,0.06213,0.95333,1,0.15454,0.000674488,0.000674488,0.000674488
18,606.083,0.0524,0.95367,1,0.16232,0.000627331,0.000627331,0.000627331
19,639.162,0.04541,0.95533,1,0.16543,0.000580174,0.000580174,0.000580174
