epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.2902,0.60469,0.88605,1,0.30334,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889
2,155.119,0.26781,0.91542,1,0.23516,0.019547,0.00651565,0.019547,0.00651565,0.019547,0.00651565,0.019547,0.00651565
3,230.953,0.22648,0.91758,1,0.24148,0.0286673,0.00955575,0.0286673,0.00955575,0.0286673,0.00955575,0.0286673,0.00955575
4,305.208,0.20607,0.92693,1,0.21553,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
5,379.305,0.1793,0.93243,1,0.18346,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912
6,453.423,0.15667,0.93577,1,0.17486,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
7,528.077,0.14803,0.93243,1,0.19398,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
8,602.687,0.13343,0.9306,1,0.19796,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846
9,676.717,0.12618,0.94194,1,0.16535,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824
10,749.955,0.11723,0.9346,1,0.19083,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
11,822.889,0.10744,0.94461,1,0.17593,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078
12,896.139,0.10699,0.93727,1,0.18293,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758
13,969.253,0.09906,0.94511,1,0.17602,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
14,1042.59,0.09255,0.94211,1,0.17704,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714
15,1116.79,0.08624,0.94578,1,0.17195,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692
16,1190.5,0.08949,0.94761,1,0.17306,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
17,1264.66,0.08255,0.9366,1,0.20162,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648
18,1338.48,0.07605,0.93927,1,0.19287,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626
19,1412.74,0.07401,0.93861,1,0.21388,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
20,1487.37,0.06891,0.94478,1,0.17305,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582
21,1561.94,0.06981,0.94895,1,0.16272,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056
22,1636.39,0.06349,0.95229,1,0.16968,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
23,1711.15,0.06313,0.94928,1,0.17406,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516,0.01548,0.00516
24,1785.49,0.05787,0.94595,1,0.18635,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494
25,1860.43,0.0542,0.94278,1,0.20545,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
26,1935.42,0.05073,0.94811,1,0.19069,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045
27,2011.58,0.05031,0.95179,1,0.1772,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428
28,2086.35,0.04759,0.95195,1,0.17118,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
29,2160.66,0.04297,0.95262,1,0.17162,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384
30,2235,0.04011,0.94945,1,0.17537,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362
31,2311.2,0.04241,0.95112,1,0.17387,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
32,2386.04,0.03331,0.95095,1,0.18347,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318
33,2459.88,0.0341,0.95379,1,0.17893,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296
34,2534.08,0.0289,0.95546,1,0.17364,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
35,2608.56,0.02752,0.95512,1,0.17106,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252
36,2690.33,0.02412,0.95629,1,0.17082,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023
37,2764.19,0.02392,0.95546,1,0.17663,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
38,2838.39,0.02156,0.95546,1,0.17833,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186
39,2911.87,0.02138,0.95462,1,0.18335,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164
40,2985.9,0.01728,0.95495,1,0.18629,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
41,3060.15,0.01728,0.95462,1,0.18957,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012
42,3134.12,0.01445,0.95479,1,0.19312,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098
43,3210.02,0.01362,0.95445,1,0.19554,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
