epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.0848,0.04141,0.97594,1,0.07866,0.000475003,0.000475003,0.000475003
2,71.0182,0.06496,0.9492,1,0.1543,0.000904245,0.000904245,0.000904245
3,105.883,0.08516,0.97326,1,0.1045,0.00128633,0.00128633,0.00128633
4,140.823,0.07897,0.94563,1,0.16194,0.00121679,0.00121679,0.00121679
5,175.982,0.06736,0.97772,1,0.09558,0.00114606,0.00114606,0.00114606
6,210.982,0.04683,0.97683,1,0.07245,0.00107532,0.00107532,0.00107532
7,246.462,0.04165,0.97683,1,0.10661,0.00100459,0.00100459,0.00100459
8,281.341,0.03123,0.96791,1,0.13883,0.000933851,0.000933851,0.000933851
9,316.01,0.03271,0.97237,1,0.0968,0.000863116,0.000863116,0.000863116
10,350.861,0.02538,0.98307,1,0.05387,0.00079238,0.00079238,0.00079238
11,393.303,0.02654,0.98039,1,0.0714,0.000721645,0.000721645,0.000721645
12,428.196,0.01824,0.98663,1,0.06498,0.000650909,0.000650909,0.000650909
13,463.007,0.01672,0.9795,1,0.08728,0.000580174,0.000580174,0.000580174
14,497.567,0.02203,0.97861,1,0.08432,0.000509438,0.000509438,0.000509438
15,532.514,0.01227,0.97861,1,0.09697,0.000438703,0.000438703,0.000438703
16,567.433,0.0081,0.98396,1,0.07623,0.000367967,0.000367967,0.000367967
17,602.333,0.00691,0.98396,1,0.09507,0.000297232,0.000297232,0.000297232
