epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.5487,0.38742,0.94029,1,0.14946,0.000475003,0.000475003,0.000475003
2,71.2566,0.12318,0.92959,1,0.21006,0.0009325,0.0009325,0.0009325
3,106.207,0.12464,0.97237,1,0.09588,0.00137113,0.00137113,0.00137113
4,141.899,0.10577,0.95633,1,0.14614,0.00134412,0.00134412,0.00134412
5,176.901,0.07658,0.96168,1,0.11383,0.00131582,0.00131582,0.00131582
6,211.562,0.06678,0.97683,1,0.07566,0.00128753,0.00128753,0.00128753
7,246.655,0.06669,0.95633,1,0.14814,0.00125923,0.00125923,0.00125923
8,281.311,0.05637,0.96524,1,0.1077,0.00123094,0.00123094,0.00123094
9,316.234,0.05715,0.96613,1,0.11804,0.00120265,0.00120265,0.00120265
10,350.939,0.05512,0.97148,1,0.10679,0.00117435,0.00117435,0.00117435
11,385.994,0.04467,0.97415,1,0.08991,0.00114606,0.00114606,0.00114606
12,421.12,0.03883,0.97148,1,0.12145,0.00111776,0.00111776,0.00111776
13,456.224,0.03518,0.97594,1,0.10758,0.00108947,0.00108947,0.00108947
