epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3048,1.26444,0.95451,1.11522,0.88051,0.87098,0.9278,0.67673,0.61894,1.14535,0.8028,0.000499431,0.000499431,0.000613197
2,154.728,1.17991,0.79345,1.08292,0.91871,0.90146,0.94568,0.69036,0.63611,0.57191,0.80365,0.000499512,0.000499512,0.000499512
3,231.134,1.1656,0.77983,1.06608,0.88903,0.9074,0.93599,0.6852,0.61009,0.59531,0.7973,0.000498048,0.000498048,0.000498048
4,307.479,1.13311,0.74024,1.06425,0.90829,0.89046,0.9376,0.67949,0.6213,0.52145,0.80292,0.000495616,0.000495616,0.000495616
5,382.935,1.13299,0.71788,1.05504,0.9487,0.90758,0.9574,0.70169,0.61189,0.45327,0.80346,0.000492224,0.000492224,0.000492224
6,459.6,1.12543,0.72929,1.05911,0.90656,0.91223,0.9448,0.69382,0.60394,0.63891,0.79741,0.000487886,0.000487886,0.000487886
7,534.97,1.10009,0.69325,1.04888,0.93786,0.91915,0.95999,0.69998,0.61176,0.52025,0.80362,0.00048262,0.00048262,0.00048262
8,610.851,1.09399,0.68653,1.0409,0.94817,0.90344,0.96134,0.69746,0.61364,0.57744,0.80243,0.000476445,0.000476445,0.000476445
9,686.542,1.0937,0.67734,1.03654,0.92612,0.8936,0.9498,0.69729,0.58917,0.93007,0.79301,0.000469386,0.000469386,0.000469386
10,762.685,1.08173,0.66926,1.0377,0.93218,0.92661,0.96074,0.70531,0.59511,0.57037,0.79677,0.000461471,0.000461471,0.000461471
11,838.639,1.06775,0.66513,1.03123,0.93445,0.90544,0.95024,0.69464,0.60341,0.50001,0.7956,0.000452732,0.000452732,0.000452732
12,914.836,1.08094,0.67127,1.03565,0.92842,0.91968,0.96103,0.7106,0.58876,0.54683,0.7955,0.000443202,0.000443202,0.000443202
13,990.72,1.07859,0.6548,1.03118,0.93524,0.89933,0.95355,0.70276,0.59628,0.58931,0.79634,0.00043292,0.00043292,0.00043292
14,1066.45,1.05784,0.64805,1.02589,0.94947,0.91807,0.96148,0.70929,0.60449,0.48979,0.79515,0.000421925,0.000421925,0.000421925
15,1142.29,1.07363,0.64513,1.03027,0.95396,0.92752,0.97128,0.72289,0.59891,0.41095,0.79624,0.000410262,0.000410262,0.000410262
16,1218.47,1.06756,0.64261,1.02693,0.92638,0.92774,0.96595,0.71517,0.62359,0.48693,0.79757,0.000397977,0.000397977,0.000397977
17,1294.6,1.03482,0.62729,1.02252,0.96169,0.93509,0.9752,0.72464,0.5992,0.43188,0.79488,0.000385117,0.000385117,0.000385117
18,1371,1.04057,0.62552,1.01792,0.94953,0.94525,0.97374,0.72277,0.60667,0.41897,0.79924,0.000371734,0.000371734,0.000371734
19,1446.17,1.04451,0.62692,1.02412,0.93121,0.93457,0.95692,0.72074,0.59547,0.54642,0.79585,0.00035788,0.00035788,0.00035788
20,1522.79,1.04417,0.61828,1.017,0.93103,0.91,0.96019,0.71798,0.57913,0.52546,0.79005,0.000343611,0.000343611,0.000343611
21,1598.1,1.03572,0.60999,1.01781,0.9487,0.92591,0.96822,0.71926,0.59164,0.45225,0.7933,0.000328982,0.000328982,0.000328982
22,1674.89,1.02113,0.60239,1.01421,0.94596,0.93211,0.96572,0.71778,0.59068,0.59637,0.79268,0.000314051,0.000314051,0.000314051
23,1750.18,1.02261,0.59635,1.01001,0.96651,0.9102,0.97016,0.72143,0.5858,0.50323,0.79518,0.000298877,0.000298877,0.000298877
24,1826.35,1.01763,0.598,1.01205,0.96232,0.92609,0.97321,0.72602,0.57945,0.46129,0.78938,0.00028352,0.00028352,0.00028352
25,1901.97,1.00048,0.5823,1.00254,0.96596,0.94198,0.97755,0.73056,0.60293,0.49308,0.795,0.000268041,0.000268041,0.000268041
26,1978.2,0.99059,0.57965,1.00781,0.93303,0.94329,0.96844,0.73089,0.58606,0.44595,0.79861,0.0002525,0.0002525,0.0002525
27,2054.66,1.01784,0.59047,1.0069,0.94961,0.9388,0.97258,0.73295,0.59022,0.46411,0.78898,0.000236959,0.000236959,0.000236959
