epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.663,1.00474,0.86784,1.08448,0.82921,0.85162,0.87749,0.64394,0.79785,1.90857,1.02158,0.000499522,0.000499522,0.0505474
2,189.611,0.88693,0.70169,1.02624,0.86676,0.84787,0.90001,0.67201,0.76986,1.05657,0.97828,0.000998545,0.000998545,0.00104639
3,281.782,0.8711,0.67219,1.01943,0.86309,0.87495,0.91278,0.69002,0.74892,1.55044,0.98026,0.000996097,0.000996097,0.000996097
4,374.91,0.87306,0.66214,1.02408,0.86533,0.85047,0.90744,0.69278,0.74334,2.42946,0.96764,0.000991232,0.000991232,0.000991232
5,467.48,0.86011,0.63646,1.00592,0.8654,0.8633,0.91209,0.69072,0.76379,2.82411,1.00037,0.000984449,0.000984449,0.000984449
6,560.137,0.85724,0.621,1.01581,0.83972,0.84636,0.88424,0.66928,0.76894,1.34157,0.98211,0.000975773,0.000975773,0.000975773
7,652.387,0.8398,0.61244,1.0061,0.87092,0.8545,0.90166,0.68921,0.74264,1.06345,0.96376,0.000965239,0.000965239,0.000965239
8,745.153,0.83467,0.61621,1.00767,0.90318,0.88308,0.93718,0.72425,0.74771,1.44511,0.9737,0.000952889,0.000952889,0.000952889
9,837.696,0.81934,0.59553,0.9951,0.9052,0.85654,0.92605,0.72123,0.74328,1.94065,0.9719,0.000938772,0.000938772,0.000938772
10,930.738,0.8234,0.59545,0.99586,0.90825,0.87848,0.9298,0.72291,0.72544,0.83987,0.96079,0.000922942,0.000922942,0.000922942
11,1023.08,0.81669,0.58352,0.99848,0.8965,0.88969,0.93921,0.72725,0.70958,0.62189,0.95544,0.000905463,0.000905463,0.000905463
12,1116.08,0.80851,0.57929,0.99452,0.89109,0.87473,0.92481,0.71141,0.74088,0.78194,0.97403,0.000886404,0.000886404,0.000886404
13,1208.46,0.81681,0.58055,0.99414,0.89776,0.90701,0.94194,0.73599,0.69397,1.19339,0.93359,0.000865839,0.000865839,0.000865839
14,1301.66,0.81113,0.57453,0.99426,0.90656,0.89437,0.93941,0.7353,0.71049,0.70786,0.94669,0.000843851,0.000843851,0.000843851
15,1394.03,0.78524,0.54778,0.98305,0.88982,0.88104,0.93031,0.72542,0.6976,0.68102,0.94131,0.000820525,0.000820525,0.000820525
16,1487.02,0.79614,0.57099,0.98996,0.90854,0.89031,0.93476,0.73069,0.70329,0.81787,0.93256,0.000795954,0.000795954,0.000795954
17,1580.2,0.79412,0.5596,0.97883,0.89482,0.89919,0.94024,0.74286,0.67657,0.82927,0.92554,0.000770234,0.000770234,0.000770234
18,1673.39,0.79069,0.54469,0.97716,0.91161,0.90674,0.95106,0.75554,0.68833,0.57411,0.93036,0.000743468,0.000743468,0.000743468
19,1766.47,0.77447,0.53507,0.98096,0.90973,0.89415,0.94263,0.74445,0.67496,0.80248,0.92051,0.000715761,0.000715761,0.000715761
20,1859.73,0.77876,0.53911,0.97982,0.90943,0.89007,0.93784,0.73271,0.69713,0.72578,0.93703,0.000687222,0.000687222,0.000687222
21,1952.56,0.76315,0.524,0.97137,0.92081,0.89386,0.93639,0.73436,0.67269,0.81329,0.93108,0.000657963,0.000657963,0.000657963
22,2046,0.74939,0.5094,0.96126,0.91437,0.90408,0.94481,0.74682,0.6805,0.62375,0.93493,0.000628101,0.000628101,0.000628101
23,2138.87,0.74767,0.51187,0.96973,0.92295,0.90276,0.95718,0.75775,0.67103,0.79049,0.92128,0.000597754,0.000597754,0.000597754
24,2232.47,0.75711,0.51301,0.97111,0.91849,0.88976,0.93401,0.7326,0.68139,0.92821,0.92589,0.00056704,0.00056704,0.00056704
25,2325.26,0.72632,0.49426,0.95368,0.9069,0.9,0.94037,0.74757,0.66089,0.63673,0.92081,0.000536081,0.000536081,0.000536081
26,2418.75,0.72978,0.49814,0.96237,0.92405,0.88918,0.94054,0.74811,0.6694,0.63067,0.93117,0.000505,0.000505,0.000505
27,2511.9,0.72839,0.49422,0.96096,0.93314,0.91263,0.95586,0.76176,0.67263,0.56628,0.92433,0.000473919,0.000473919,0.000473919
28,2605.46,0.71479,0.48624,0.95222,0.91664,0.92288,0.95315,0.76357,0.64512,0.52924,0.91019,0.00044296,0.00044296,0.00044296
29,2698.92,0.71529,0.48423,0.95547,0.90256,0.92086,0.9503,0.75586,0.64599,0.61343,0.91158,0.000412246,0.000412246,0.000412246
