epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7454,0.84013,0.63256,0.99747,0.8617,0.88145,0.92876,0.70253,0.59854,0.51176,0.80503,0.000299615,0.000299615,0.000427985
2,133.163,0.76317,0.51001,0.96333,0.86295,0.90153,0.93615,0.7239,0.57584,0.40868,0.78836,0.000299542,0.000299542,0.000299542
3,198.516,0.7486,0.49523,0.9544,0.90919,0.89365,0.94544,0.73303,0.56119,0.55176,0.7891,0.000298172,0.000298172,0.000298172
4,264.071,0.74089,0.48802,0.94895,0.90848,0.90108,0.95083,0.73523,0.57102,0.48989,0.7897,0.000295897,0.000295897,0.000295897
5,329.659,0.72855,0.46898,0.9429,0.92371,0.9054,0.95633,0.74061,0.57111,0.37932,0.78569,0.000292732,0.000292732,0.000292732
6,393.59,0.73419,0.47545,0.95241,0.94615,0.90494,0.95505,0.74089,0.56371,0.41785,0.79258,0.000288696,0.000288696,0.000288696
7,456.091,0.73753,0.47708,0.9566,0.94608,0.90893,0.9601,0.74483,0.5661,0.37347,0.78762,0.000283814,0.000283814,0.000283814
8,518.254,0.71855,0.46454,0.94873,0.9426,0.89445,0.95698,0.74151,0.55661,0.43048,0.79075,0.000278117,0.000278117,0.000278117
9,580.445,0.73619,0.46869,0.9504,0.94935,0.90732,0.95744,0.73834,0.55504,0.46475,0.78018,0.000271639,0.000271639,0.000271639
10,642.346,0.72367,0.46305,0.94421,0.93401,0.92297,0.96714,0.75242,0.55932,0.37401,0.78593,0.00026442,0.00026442,0.00026442
11,705.095,0.70282,0.45218,0.93296,0.94437,0.92027,0.96133,0.74778,0.54089,0.43898,0.77687,0.000256505,0.000256505,0.000256505
12,767.064,0.72633,0.45985,0.94362,0.95255,0.91977,0.9675,0.75035,0.54414,0.42146,0.78326,0.000247943,0.000247943,0.000247943
13,829.498,0.71435,0.44903,0.94052,0.93428,0.91261,0.96398,0.75038,0.55683,0.36675,0.78269,0.000238786,0.000238786,0.000238786
14,891.878,0.69905,0.43658,0.93832,0.95846,0.91137,0.96584,0.75223,0.54969,0.36234,0.78199,0.000229091,0.000229091,0.000229091
15,954.724,0.71759,0.45175,0.94623,0.9296,0.91876,0.96302,0.74786,0.54294,0.3607,0.7801,0.000218918,0.000218918,0.000218918
16,1016.98,0.69564,0.4365,0.93302,0.94884,0.92073,0.96521,0.75478,0.54918,0.35416,0.77928,0.000208328,0.000208328,0.000208328
17,1079.95,0.70646,0.44593,0.94311,0.94245,0.92359,0.96342,0.74508,0.55711,0.41341,0.78339,0.000197389,0.000197389,0.000197389
18,1142.21,0.68188,0.43169,0.93263,0.95695,0.90737,0.96574,0.75089,0.54778,0.40069,0.78246,0.000186167,0.000186167,0.000186167
19,1204.89,0.69187,0.43844,0.93805,0.93853,0.91297,0.96099,0.74821,0.54638,0.38938,0.78508,0.000174731,0.000174731,0.000174731
20,1267.37,0.678,0.42539,0.92974,0.94033,0.92443,0.96672,0.75194,0.54094,0.41262,0.77791,0.000163151,0.000163151,0.000163151
21,1329.79,0.70091,0.43793,0.93573,0.95802,0.90855,0.9663,0.75206,0.54463,0.40148,0.77545,0.0001515,0.0001515,0.0001515
22,1392.3,0.67511,0.42388,0.92559,0.94587,0.90624,0.96084,0.749,0.54805,0.41952,0.78174,0.000139849,0.000139849,0.000139849
23,1454.69,0.66998,0.41359,0.92665,0.95438,0.91136,0.96668,0.75107,0.55012,0.39068,0.78248,0.000128269,0.000128269,0.000128269
24,1517.64,0.67967,0.41977,0.92445,0.94992,0.91962,0.96827,0.75482,0.54734,0.36302,0.78158,0.000116833,0.000116833,0.000116833
25,1580.41,0.6772,0.42363,0.93448,0.95465,0.91862,0.96878,0.75293,0.55907,0.36798,0.78316,0.000105611,0.000105611,0.000105611
26,1642.76,0.67348,0.41956,0.93089,0.9609,0.91991,0.96926,0.756,0.54073,0.33925,0.77959,9.46715e-05,9.46715e-05,9.46715e-05
27,1705.5,0.66935,0.40753,0.9212,0.94815,0.91872,0.96849,0.75488,0.54582,0.35073,0.78156,8.40824e-05,8.40824e-05,8.40824e-05
28,1768.04,0.65955,0.4088,0.91828,0.96186,0.91823,0.96961,0.75671,0.54551,0.35524,0.78066,7.3909e-05,7.3909e-05,7.3909e-05
29,1830.5,0.66109,0.4093,0.92164,0.94771,0.91509,0.96807,0.75475,0.54561,0.35819,0.78021,6.42139e-05,6.42139e-05,6.42139e-05
30,1893.13,0.65262,0.40091,0.92228,0.94695,0.91816,0.96747,0.75381,0.54412,0.36715,0.77874,5.5057e-05,5.5057e-05,5.5057e-05
31,1960.36,0.57617,0.33564,0.89122,0.94404,0.9103,0.96523,0.75327,0.5436,0.37832,0.78306,4.64946e-05,4.64946e-05,4.64946e-05
32,2023.17,0.57793,0.33431,0.89307,0.94732,0.91065,0.96535,0.75499,0.54844,0.36109,0.78377,3.85797e-05,3.85797e-05,3.85797e-05
33,2085.13,0.56077,0.33407,0.88748,0.9511,0.91115,0.96799,0.75799,0.54513,0.33294,0.7823,3.1361e-05,3.1361e-05,3.1361e-05
34,2148.59,0.56828,0.32713,0.89489,0.95955,0.90768,0.96785,0.75887,0.54401,0.34063,0.78221,2.48829e-05,2.48829e-05,2.48829e-05
35,2210.81,0.55906,0.32125,0.88385,0.95152,0.90677,0.96716,0.75754,0.54749,0.33442,0.78376,1.91855e-05,1.91855e-05,1.91855e-05
36,2272.68,0.55383,0.3265,0.88878,0.95551,0.90894,0.96795,0.75734,0.54759,0.34365,0.78336,1.43039e-05,1.43039e-05,1.43039e-05
37,2334.78,0.56109,0.32673,0.88367,0.95528,0.91148,0.96743,0.75681,0.54543,0.33979,0.78278,1.02681e-05,1.02681e-05,1.02681e-05
38,2396.78,0.55534,0.32122,0.88306,0.95705,0.91006,0.9683,0.75819,0.54419,0.3333,0.78264,7.10307e-06,7.10307e-06,7.10307e-06
39,2458.5,0.55523,0.3257,0.88599,0.95623,0.90887,0.96788,0.7575,0.54667,0.33887,0.78385,4.82828e-06,4.82828e-06,4.82828e-06
40,2520.26,0.56035,0.32822,0.88741,0.95608,0.90479,0.96875,0.75571,0.54699,0.33747,0.78339,3.45778e-06,3.45778e-06,3.45778e-06
