epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.117,1.05812,1.15197,1.15958,0.86958,0.82731,0.89748,0.67501,0.80319,4.46287,1.10055,0.000999578,0.000999578,0.00104174
2,413.853,0.96808,0.96528,1.12021,0.88697,0.8629,0.92073,0.7121,0.74466,3.37288,1.00933,0.000998474,0.000998474,0.000998474
3,617.639,0.94066,0.9081,1.09933,0.89231,0.85486,0.90946,0.69715,0.72671,2.45641,0.99146,0.000993906,0.000993906,0.000993906
4,825.658,0.92809,0.87998,1.09273,0.89495,0.87762,0.9238,0.70989,0.73557,3.41008,1.00172,0.000986323,0.000986323,0.000986323
5,1030.49,0.90235,0.82229,1.08224,0.90308,0.88058,0.92501,0.72069,0.71597,3.53175,1.00077,0.000975773,0.000975773,0.000975773
6,1251.39,0.90007,0.81805,1.07528,0.90157,0.88397,0.92327,0.71394,0.73235,2.90663,0.99941,0.00096232,0.00096232,0.00096232
7,1467.8,0.89882,0.81917,1.08413,0.90139,0.89344,0.93584,0.73851,0.6973,3.76625,0.97645,0.000946048,0.000946048,0.000946048
8,1687.44,0.8697,0.80319,1.05615,0.88667,0.88221,0.92526,0.73071,0.68088,3.94704,0.96982,0.000927057,0.000927057,0.000927057
9,1907.91,0.87522,0.77419,1.0658,0.91082,0.90274,0.94175,0.75024,0.68619,2.96163,0.96134,0.000905463,0.000905463,0.000905463
10,2128.11,0.85701,0.751,1.0543,0.8962,0.89535,0.93609,0.7415,0.67426,3.97924,0.96092,0.000881401,0.000881401,0.000881401
11,2341.18,0.86151,0.73905,1.05079,0.90561,0.89719,0.93543,0.74127,0.68559,2.43189,0.95727,0.000855018,0.000855018,0.000855018
12,2560.62,0.83826,0.72522,1.0467,0.89165,0.89142,0.93093,0.73333,0.69687,3.00497,0.97867,0.000826477,0.000826477,0.000826477
13,2765.67,0.83918,0.69391,1.04938,0.90547,0.90063,0.938,0.75015,0.66204,1.89884,0.95196,0.000795954,0.000795954,0.000795954
14,2970.75,0.82474,0.69757,1.03896,0.90923,0.89353,0.94555,0.75965,0.66012,4.288,0.94222,0.000763637,0.000763637,0.000763637
15,3175.63,0.81848,0.67336,1.03115,0.91423,0.90059,0.94058,0.76175,0.62764,2.84753,0.91296,0.000729725,0.000729725,0.000729725
16,3381.78,0.81667,0.68356,1.0339,0.92207,0.90949,0.95272,0.77335,0.63196,2.77616,0.91084,0.000694428,0.000694428,0.000694428
17,3588.75,0.79788,0.6686,1.02469,0.90322,0.91522,0.94655,0.76126,0.63738,2.13791,0.92913,0.000657963,0.000657963,0.000657963
18,3794.88,0.80658,0.66483,1.02885,0.9337,0.91939,0.95598,0.77755,0.63725,2.12719,0.93144,0.000620555,0.000620555,0.000620555
19,4002.03,0.79035,0.63839,1.02161,0.92251,0.91412,0.94794,0.77432,0.62207,2.07491,0.91545,0.000582435,0.000582435,0.000582435
20,4207.96,0.78081,0.63335,1.01954,0.93122,0.91927,0.94706,0.77353,0.605,1.92361,0.90834,0.000543837,0.000543837,0.000543837
21,4414.63,0.77381,0.61261,1.0121,0.92885,0.91384,0.95706,0.78369,0.59868,1.80942,0.8942,0.000505,0.000505,0.000505
22,4624.37,0.76746,0.61083,1.01318,0.92989,0.91324,0.95081,0.77537,0.60866,2.37728,0.90344,0.000466163,0.000466163,0.000466163
23,4833.09,0.75409,0.59024,0.99706,0.93628,0.92577,0.96288,0.79102,0.59755,1.77474,0.88524,0.000427565,0.000427565,0.000427565
24,5042.23,0.7517,0.59933,1.00091,0.94243,0.92328,0.95932,0.79493,0.5989,1.80423,0.89243,0.000389445,0.000389445,0.000389445
25,5251.18,0.74788,0.59725,0.9989,0.9414,0.91778,0.95493,0.78709,0.59424,1.62185,0.89565,0.000352037,0.000352037,0.000352037
26,5460.2,0.73575,0.58729,0.99332,0.9416,0.91952,0.95803,0.788,0.57853,1.78023,0.88,0.000315572,0.000315572,0.000315572
27,5668.69,0.7291,0.56241,0.99644,0.93867,0.92596,0.95955,0.79626,0.58261,2.01427,0.88391,0.000280275,0.000280275,0.000280275
28,5880.28,0.72393,0.55148,0.98769,0.9401,0.93029,0.96225,0.79635,0.58694,1.78594,0.88703,0.000246363,0.000246363,0.000246363
29,6092.3,0.72475,0.54547,0.98941,0.93368,0.93164,0.96143,0.79772,0.57632,1.72061,0.87567,0.000214046,0.000214046,0.000214046
30,6304.68,0.71927,0.54294,0.99513,0.93475,0.9319,0.96254,0.7996,0.5766,1.81971,0.8745,0.000183523,0.000183523,0.000183523
