epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.784,0.85602,0.6895,0.9945,0.866,0.84353,0.90903,0.6914,0.48871,2.76263,0.64861,0.000499419,0.000499419,0.000615563
2,152.222,0.79386,0.57367,0.98036,0.90801,0.87185,0.93914,0.70825,0.49156,1.57629,0.63949,0.000499004,0.000499004,0.000499004
3,227.386,0.7895,0.5473,0.96733,0.86316,0.89131,0.92674,0.69559,0.49428,1.13255,0.64632,0.000496023,0.000496023,0.000496023
4,302.55,0.78038,0.53244,0.96573,0.90902,0.88758,0.94608,0.71955,0.4879,1.39627,0.64307,0.000491081,0.000491081,0.000491081
5,377.455,0.76736,0.51986,0.96658,0.89368,0.89311,0.93444,0.72056,0.48843,1.44823,0.6448,0.000484218,0.000484218,0.000484218
6,452.808,0.75312,0.50788,0.95961,0.90702,0.90965,0.95267,0.71259,0.4889,1.25753,0.64576,0.00047549,0.00047549,0.00047549
7,528.48,0.76041,0.53399,0.95944,0.93267,0.87973,0.94644,0.72737,0.48039,1.03627,0.63524,0.000464966,0.000464966,0.000464966
8,604.136,0.75159,0.50423,0.95252,0.90441,0.89972,0.95033,0.72492,0.46968,2.06536,0.63726,0.000452732,0.000452732,0.000452732
9,679.472,0.7365,0.51622,0.94796,0.93287,0.89786,0.95057,0.73441,0.47255,1.29306,0.63627,0.000438885,0.000438885,0.000438885
10,754.989,0.7388,0.49506,0.94435,0.91921,0.91606,0.95381,0.73085,0.46669,1.52802,0.64058,0.000423538,0.000423538,0.000423538
11,830.458,0.73251,0.49362,0.95092,0.94376,0.87094,0.95094,0.72686,0.47647,1.4325,0.63762,0.000406814,0.000406814,0.000406814
12,905.748,0.73707,0.49503,0.95151,0.91699,0.91048,0.95361,0.73191,0.46983,1.51916,0.63605,0.000388847,0.000388847,0.000388847
13,981.019,0.74455,0.50343,0.95754,0.92637,0.9161,0.95456,0.72842,0.46869,0.98352,0.63377,0.000369782,0.000369782,0.000369782
14,1056.49,0.73071,0.47469,0.94868,0.91351,0.88742,0.94326,0.72618,0.46154,0.85893,0.63486,0.000349774,0.000349774,0.000349774
