epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.179,0.96534,0.84319,1.04328,0.89405,0.87944,0.9134,0.70209,0.69005,2.79164,0.89571,0.000555275,0.000555275,0.000555275
2,238.193,0.8984,0.7194,1.01034,0.90356,0.87122,0.9226,0.72016,0.74305,3.14222,0.93405,0.00108894,0.00108894,0.00108894
3,353.261,0.88789,0.69658,1.00571,0.88997,0.86284,0.9234,0.72262,0.71536,3.8897,0.90821,0.00160061,0.00160061,0.00160061
4,468.115,0.89417,0.69625,1.00442,0.91592,0.8812,0.93707,0.74008,0.70471,2.28496,0.89285,0.00156798,0.00156798,0.00156798
5,582.819,0.89347,0.70981,1.00772,0.88919,0.88832,0.92979,0.73243,0.67173,3.37558,0.88604,0.00153497,0.00153497,0.00153497
6,697.568,0.87165,0.66631,0.99736,0.92139,0.8926,0.94221,0.74873,0.68309,3.45805,0.88246,0.00150197,0.00150197,0.00150197
7,812.855,0.88342,0.68121,1.00633,0.90075,0.89595,0.93391,0.72922,0.67903,2.03608,0.88495,0.00146896,0.00146896,0.00146896
8,927.586,0.8495,0.66026,0.99233,0.88604,0.89388,0.92676,0.7317,0.6766,2.79945,0.90374,0.00143595,0.00143595,0.00143595
9,1042.57,0.83326,0.63026,0.98639,0.9124,0.90774,0.94331,0.75904,0.63395,2.75991,0.87048,0.00140295,0.00140295,0.00140295
10,1158.14,0.82712,0.62007,0.98056,0.9037,0.90376,0.94041,0.74673,0.66636,2.47425,0.87182,0.00136994,0.00136994,0.00136994
11,1273.7,0.82243,0.61732,0.97705,0.9189,0.90439,0.94727,0.76208,0.68027,1.86217,0.87642,0.00133693,0.00133693,0.00133693
12,1389.4,0.82618,0.62094,0.98265,0.91268,0.90619,0.94235,0.75389,0.65204,2.90217,0.87487,0.00130393,0.00130393,0.00130393
13,1504.83,0.8174,0.59383,0.97395,0.93531,0.91347,0.95368,0.75771,0.6489,4.34077,0.86825,0.00127092,0.00127092,0.00127092
14,1619.99,0.79405,0.58451,0.96412,0.93226,0.88724,0.95198,0.77733,0.6157,2.08989,0.848,0.00123791,0.00123791,0.00123791
15,1735.44,0.8028,0.5981,0.97565,0.92813,0.90847,0.95723,0.77382,0.66084,2.86852,0.88319,0.00120491,0.00120491,0.00120491
16,1850.1,0.78718,0.59651,0.96612,0.91775,0.90398,0.9425,0.76442,0.64278,2.26015,0.87885,0.0011719,0.0011719,0.0011719
17,1965.04,0.77601,0.55921,0.95874,0.93503,0.91419,0.94983,0.76262,0.638,2.44496,0.85419,0.00113889,0.00113889,0.00113889
18,2080.04,0.78029,0.55742,0.96076,0.93447,0.91928,0.95447,0.77961,0.60392,2.85515,0.84288,0.00110589,0.00110589,0.00110589
19,2195.37,0.77874,0.55768,0.9634,0.93556,0.92153,0.95372,0.77936,0.59607,1.88367,0.82716,0.00107288,0.00107288,0.00107288
20,2310.81,0.76243,0.55324,0.95542,0.93421,0.91675,0.95316,0.77741,0.61097,1.73033,0.84407,0.00103987,0.00103987,0.00103987
21,2426.17,0.75555,0.53426,0.95232,0.9407,0.92374,0.95976,0.78766,0.6022,2.25129,0.82399,0.00100687,0.00100687,0.00100687
22,2541.66,0.74544,0.5205,0.94614,0.93935,0.92316,0.95661,0.78785,0.60588,1.99103,0.84,0.000973861,0.000973861,0.000973861
23,2657.06,0.75372,0.52732,0.95194,0.93005,0.91213,0.9508,0.77873,0.6082,2.63478,0.847,0.000940855,0.000940855,0.000940855
24,2772.74,0.74477,0.52374,0.94894,0.94428,0.92426,0.95811,0.78667,0.61234,1.6917,0.85086,0.000907848,0.000907848,0.000907848
25,2893.02,0.72687,0.51657,0.94032,0.9354,0.91183,0.95289,0.78206,0.60314,2.95802,0.8357,0.000874842,0.000874842,0.000874842
26,3017.89,0.73196,0.51453,0.94831,0.94574,0.91066,0.95421,0.78356,0.59702,1.98175,0.84255,0.000841835,0.000841835,0.000841835
27,3142.61,0.7387,0.53322,0.95207,0.94209,0.92455,0.95666,0.78414,0.60518,1.70501,0.84842,0.000808828,0.000808828,0.000808828
28,3267.35,0.72629,0.50617,0.94171,0.94519,0.92848,0.96112,0.79471,0.58884,1.53444,0.83806,0.000775822,0.000775822,0.000775822
29,3392.16,0.72529,0.50867,0.93613,0.9179,0.92692,0.95138,0.7808,0.58991,2.48519,0.83465,0.000742815,0.000742815,0.000742815
30,3513.46,0.71927,0.50915,0.93821,0.93741,0.92609,0.95781,0.79061,0.57367,1.38842,0.81228,0.000709809,0.000709809,0.000709809
31,3635.65,0.71636,0.49623,0.93679,0.94443,0.92743,0.95847,0.7917,0.56357,1.69804,0.80906,0.000676802,0.000676802,0.000676802
32,3757.2,0.69945,0.47475,0.92797,0.94682,0.92782,0.96087,0.79521,0.56033,1.84202,0.80481,0.000643795,0.000643795,0.000643795
33,3878.25,0.70368,0.47989,0.92917,0.94314,0.92756,0.96087,0.79173,0.58039,1.45191,0.80939,0.000610789,0.000610789,0.000610789
34,3999.73,0.69001,0.47604,0.92767,0.94499,0.91691,0.95907,0.79005,0.58344,1.82662,0.82352,0.000577782,0.000577782,0.000577782
35,4121.37,0.69184,0.47209,0.92266,0.94438,0.93185,0.96603,0.80515,0.55727,1.71855,0.80229,0.000544776,0.000544776,0.000544776
36,4243.74,0.68558,0.4634,0.92527,0.94548,0.93363,0.96285,0.80184,0.57101,1.38909,0.80802,0.000511769,0.000511769,0.000511769
37,4365.58,0.68768,0.47503,0.93026,0.93959,0.93102,0.96159,0.79961,0.54886,1.76991,0.79589,0.000478762,0.000478762,0.000478762
38,4487.6,0.68902,0.46809,0.92437,0.93953,0.92905,0.95971,0.8001,0.55805,1.5942,0.80582,0.000445756,0.000445756,0.000445756
39,4608.95,0.67933,0.45383,0.92214,0.94994,0.9358,0.9643,0.80674,0.54732,1.29386,0.80123,0.000412749,0.000412749,0.000412749
40,4730.74,0.6653,0.44183,0.92038,0.94593,0.91977,0.95812,0.79907,0.54711,1.84653,0.81063,0.000379743,0.000379743,0.000379743
41,4857.61,0.60705,0.43016,0.9042,0.9438,0.93001,0.96337,0.80363,0.55559,1.42789,0.8151,0.000346736,0.000346736,0.000346736
42,4978.06,0.59689,0.41693,0.89322,0.94124,0.92976,0.96319,0.80576,0.53854,1.01872,0.79492,0.000313729,0.000313729,0.000313729
43,5098.48,0.58875,0.39676,0.88997,0.93401,0.93355,0.9615,0.80133,0.55366,1.52426,0.80845,0.000280723,0.000280723,0.000280723
44,5218.44,0.58663,0.3884,0.88811,0.93705,0.93427,0.96038,0.80226,0.54646,1.0578,0.79774,0.000247716,0.000247716,0.000247716
45,5338.92,0.57741,0.386,0.8915,0.94505,0.93607,0.96289,0.80667,0.52916,1.31944,0.78327,0.00021471,0.00021471,0.00021471
46,5458.3,0.56178,0.3822,0.87115,0.9421,0.93614,0.96484,0.80814,0.52526,0.89968,0.77966,0.000181703,0.000181703,0.000181703
47,5578.11,0.57172,0.38892,0.88686,0.93845,0.93702,0.96387,0.80729,0.52699,1.04067,0.78647,0.000148696,0.000148696,0.000148696
48,5697.24,0.55661,0.36206,0.87181,0.94539,0.9285,0.96316,0.80867,0.53061,1.01261,0.78847,0.00011569,0.00011569,0.00011569
49,5817.46,0.56233,0.37933,0.88489,0.94107,0.93399,0.9632,0.80977,0.51812,1.12357,0.77803,8.26832e-05,8.26832e-05,8.26832e-05
50,5937.52,0.55906,0.36837,0.881,0.94094,0.93629,0.96406,0.80997,0.51718,0.95678,0.77686,4.96766e-05,4.96766e-05,4.96766e-05
