epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5245,1.07214,1.67004,1.14332,0.8079,0.79942,0.84022,0.58883,0.84923,8.14934,1.07436,0.000553251,0.000553251,0.000553251
2,45.8574,1.04361,1.15216,1.15339,0.8299,0.81024,0.90591,0.63753,0.89306,4.53141,1.13922,0.00109519,0.00109519,0.00109519
3,67.8263,1.03363,1.02384,1.14815,0.87543,0.82562,0.91171,0.63715,0.89497,5.22092,1.12912,0.00162339,0.00162339,0.00162339
4,90.2719,0.99959,0.89453,1.13777,0.87226,0.85715,0.93104,0.64697,0.87954,2.02995,1.0657,0.00160511,0.00160511,0.00160511
5,111.532,0.9811,0.83277,1.12415,0.92417,0.87663,0.94007,0.65959,0.91799,2.16271,1.14392,0.00158448,0.00158448,0.00158448
6,131.995,0.94964,0.80603,1.11054,0.94451,0.85575,0.94638,0.69861,0.80781,1.05488,1.06887,0.00156385,0.00156385,0.00156385
7,153.549,0.91112,0.75981,1.10264,0.87264,0.88799,0.93973,0.68835,0.84633,1.07121,1.05657,0.00154323,0.00154323,0.00154323
8,174.882,0.92016,0.75011,1.10453,0.86,0.84029,0.92969,0.66454,0.83384,0.97839,1.06976,0.0015226,0.0015226,0.0015226
9,196.11,0.87974,0.71047,1.08325,0.93442,0.89778,0.96015,0.71369,0.72058,1.16708,1.01186,0.00150197,0.00150197,0.00150197
10,217.76,0.85345,0.67164,1.06806,0.92011,0.92599,0.96676,0.6901,0.79292,0.87338,1.0452,0.00148134,0.00148134,0.00148134
11,238.803,0.8614,0.67763,1.06752,0.96121,0.88332,0.97045,0.72086,0.7902,0.66085,1.03352,0.00146071,0.00146071,0.00146071
12,260.298,0.86341,0.67927,1.07424,0.94174,0.89467,0.95934,0.7088,0.80357,0.73329,1.03924,0.00144008,0.00144008,0.00144008
13,281.552,0.85276,0.65881,1.06681,0.9228,0.93234,0.96794,0.73996,0.71793,0.85663,1.01178,0.00141945,0.00141945,0.00141945
14,303.23,0.84482,0.65598,1.07013,0.95056,0.89565,0.96204,0.73341,0.73666,0.66133,1.06012,0.00139882,0.00139882,0.00139882
15,324.378,0.8085,0.63069,1.05099,0.92849,0.94803,0.97558,0.72197,0.77921,0.60956,1.00692,0.00137819,0.00137819,0.00137819
16,345.621,0.82693,0.64725,1.06079,0.95447,0.9388,0.97764,0.75229,0.6978,0.66286,0.99372,0.00135756,0.00135756,0.00135756
17,367.076,0.82359,0.60799,1.05297,0.94087,0.89241,0.9635,0.73971,0.72731,0.60987,1.00499,0.00133693,0.00133693,0.00133693
18,388.547,0.7837,0.59848,1.038,0.92778,0.91299,0.96956,0.73972,0.72784,0.6713,1.00427,0.0013163,0.0013163,0.0013163
19,409.872,0.80548,0.58533,1.04408,0.9476,0.90521,0.96633,0.71925,0.76796,0.6022,1.06122,0.00129568,0.00129568,0.00129568
20,430.967,0.79876,0.59155,1.03832,0.93421,0.95001,0.97442,0.74163,0.76301,0.58132,1.01523,0.00127505,0.00127505,0.00127505
21,452.566,0.7936,0.59144,1.04123,0.95361,0.94185,0.98133,0.75815,0.6929,0.5484,0.99436,0.00125442,0.00125442,0.00125442
22,473.866,0.76859,0.57612,1.02413,0.94878,0.9114,0.96238,0.74333,0.69821,0.72269,0.99921,0.00123379,0.00123379,0.00123379
23,495.516,0.77953,0.57378,1.03649,0.96137,0.94414,0.98732,0.76809,0.71197,0.50139,0.993,0.00121316,0.00121316,0.00121316
24,516.49,0.75485,0.56577,1.02252,0.9408,0.93206,0.97002,0.75458,0.6905,0.55725,0.98043,0.00119253,0.00119253,0.00119253
25,538.044,0.74858,0.55558,1.01763,0.92631,0.92117,0.97267,0.74881,0.6968,0.60046,0.98773,0.0011719,0.0011719,0.0011719
