epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6271,1.26274,1.44122,1.20212,0.79519,0.68177,0.78154,0.50975,1.07467,2.39372,1.18372,0.000555123,0.000555123,0.000555123
2,192.369,1.25734,1.19505,1.22063,0.84664,0.74677,0.84526,0.57006,1.05733,2.03547,1.17679,0.00109704,0.00109704,0.00109704
3,283.504,1.2342,1.10322,1.20225,0.89814,0.80318,0.89607,0.61945,0.96964,1.9197,1.12532,0.00162521,0.00162521,0.00162521
4,375.04,1.21144,1.06424,1.19121,0.84215,0.79263,0.88134,0.61734,0.97332,1.40649,1.11538,0.00160511,0.00160511,0.00160511
5,465.763,1.15094,1.002,1.17363,0.83182,0.81135,0.85765,0.6068,0.95219,1.43444,1.1033,0.00158448,0.00158448,0.00158448
6,556.833,1.1075,0.92031,1.15184,0.86134,0.84954,0.91334,0.64262,0.95363,2.10918,1.12009,0.00156385,0.00156385,0.00156385
7,648.348,1.0727,0.91314,1.13022,0.8019,0.792,0.84805,0.61727,0.89879,1.54726,1.07474,0.00154323,0.00154323,0.00154323
8,739.713,1.04035,0.85147,1.11322,0.85905,0.85779,0.91939,0.67214,0.8641,1.12187,1.03838,0.0015226,0.0015226,0.0015226
9,832.812,1.02743,0.81272,1.10739,0.90698,0.81294,0.91744,0.6694,0.85919,0.84972,1.03485,0.00150197,0.00150197,0.00150197
10,927.401,0.99455,0.78992,1.08405,0.89738,0.8243,0.91271,0.67545,0.84152,1.06109,1.05561,0.00148134,0.00148134,0.00148134
11,1018.63,0.98603,0.7661,1.08143,0.83938,0.86631,0.89633,0.66056,0.85415,1.57512,1.04251,0.00146071,0.00146071,0.00146071
12,1108.29,0.94809,0.72946,1.06382,0.80614,0.85195,0.85326,0.64732,0.77761,1.40562,0.99606,0.00144008,0.00144008,0.00144008
13,1197.46,0.9516,0.74564,1.06385,0.78039,0.83098,0.80377,0.58979,0.82182,1.52031,1.01527,0.00141945,0.00141945,0.00141945
14,1287.78,0.93598,0.70198,1.05105,0.83321,0.84961,0.87838,0.66264,0.7702,0.83946,0.97931,0.00139882,0.00139882,0.00139882
15,1377.78,0.91772,0.70669,1.04997,0.86112,0.83232,0.89378,0.67608,0.80077,0.88177,1.01759,0.00137819,0.00137819,0.00137819
16,1468.24,0.90474,0.68273,1.03841,0.81292,0.85938,0.85392,0.64547,0.79811,1.35141,0.99727,0.00135756,0.00135756,0.00135756
17,1558.49,0.8886,0.64886,1.03848,0.87316,0.88212,0.91117,0.68181,0.78881,1.14451,0.99092,0.00133693,0.00133693,0.00133693
18,1649.75,0.87156,0.63999,1.02017,0.86044,0.84856,0.87972,0.65752,0.76776,1.08835,0.96613,0.0013163,0.0013163,0.0013163
19,1739.07,0.87374,0.64903,1.02514,0.88085,0.84436,0.89521,0.68604,0.76829,0.89682,0.98912,0.00129568,0.00129568,0.00129568
20,1828.59,0.87028,0.63749,1.01983,0.88566,0.85939,0.91155,0.70413,0.70888,0.85432,0.94148,0.00127505,0.00127505,0.00127505
21,1917.86,0.85547,0.63112,1.01678,0.87603,0.86902,0.89052,0.68945,0.73727,1.09164,0.95452,0.00125442,0.00125442,0.00125442
22,2007.47,0.84123,0.60205,1.00418,0.88017,0.91556,0.93613,0.70944,0.75848,0.94443,1.03145,0.00123379,0.00123379,0.00123379
23,2097.39,0.83639,0.5986,1.01034,0.90715,0.90721,0.93441,0.71834,0.76913,0.80683,1.04503,0.00121316,0.00121316,0.00121316
24,2186.88,0.83195,0.60099,1.0089,0.89213,0.89078,0.92782,0.71959,0.73923,0.86991,0.97635,0.00119253,0.00119253,0.00119253
25,2276.25,0.82372,0.58334,1.00791,0.94425,0.89103,0.95442,0.7367,0.73105,0.69228,0.97314,0.0011719,0.0011719,0.0011719
26,2365.78,0.81568,0.58375,1.00075,0.87556,0.89482,0.88543,0.6929,0.70695,1.05746,0.95933,0.00115127,0.00115127,0.00115127
27,2455.36,0.8193,0.59036,1.00595,0.87931,0.89847,0.91269,0.70657,0.74076,0.87206,0.95625,0.00113064,0.00113064,0.00113064
28,2544.91,0.80253,0.56653,0.99862,0.92666,0.91463,0.95709,0.74493,0.70938,0.61204,0.96411,0.00111001,0.00111001,0.00111001
29,2634.28,0.79391,0.55522,0.99002,0.93647,0.90054,0.94362,0.72955,0.70966,0.64658,0.95677,0.00108938,0.00108938,0.00108938
30,2723.45,0.80596,0.57007,0.99642,0.89338,0.86468,0.90122,0.7052,0.6815,1.92622,0.93664,0.00106876,0.00106876,0.00106876
31,2812.45,0.78042,0.55551,0.98705,0.88314,0.88674,0.91559,0.71312,0.69104,0.76914,0.94574,0.00104813,0.00104813,0.00104813
32,2902.81,0.7866,0.54065,0.98552,0.91569,0.90802,0.94215,0.74213,0.68094,0.65431,0.93327,0.0010275,0.0010275,0.0010275
33,2991.59,0.7612,0.53742,0.97423,0.93573,0.91292,0.95678,0.74395,0.72593,0.65007,0.97085,0.00100687,0.00100687,0.00100687
34,3081.23,0.76797,0.5246,0.97534,0.90397,0.90608,0.94712,0.7513,0.68668,0.61504,0.94185,0.000986239,0.000986239,0.000986239
35,3170.52,0.76444,0.52382,0.97713,0.92042,0.89569,0.95086,0.74969,0.66451,0.59031,0.92044,0.00096561,0.00096561,0.00096561
36,3259.82,0.75364,0.52157,0.97394,0.90739,0.90077,0.92155,0.72173,0.69101,0.69443,0.92653,0.000944981,0.000944981,0.000944981
37,3350.39,0.7495,0.51864,0.97463,0.89338,0.91317,0.9346,0.73743,0.66084,0.68942,0.92372,0.000924352,0.000924352,0.000924352
38,3440.04,0.75577,0.50908,0.97042,0.88098,0.92058,0.93913,0.7395,0.66969,0.72809,0.93869,0.000903722,0.000903722,0.000903722
39,3529.45,0.73098,0.5042,0.96943,0.92847,0.89201,0.95116,0.75359,0.65547,0.73115,0.92967,0.000883093,0.000883093,0.000883093
40,3619.51,0.73412,0.5033,0.96632,0.91865,0.88926,0.93845,0.754,0.65717,0.60616,0.91749,0.000862464,0.000862464,0.000862464
41,3709.18,0.73394,0.499,0.96459,0.93568,0.91119,0.96108,0.76371,0.69604,0.64303,0.94686,0.000841835,0.000841835,0.000841835
42,3799.19,0.72134,0.48539,0.96086,0.93921,0.93954,0.96496,0.7646,0.66804,0.57078,0.92728,0.000821206,0.000821206,0.000821206
43,3888.94,0.71894,0.48654,0.95802,0.93638,0.92383,0.95565,0.74863,0.68896,0.76793,1.02863,0.000800577,0.000800577,0.000800577
44,3978.45,0.71681,0.47894,0.95709,0.91663,0.92802,0.94336,0.75533,0.63632,0.59356,0.90678,0.000779948,0.000779948,0.000779948
45,4068.01,0.70838,0.47858,0.95451,0.9444,0.92844,0.96462,0.76728,0.6335,0.48865,0.91014,0.000759318,0.000759318,0.000759318
46,4157.23,0.70129,0.47308,0.94809,0.9141,0.9221,0.94385,0.75638,0.63512,0.54575,0.9022,0.000738689,0.000738689,0.000738689
47,4247,0.70215,0.46418,0.95123,0.93501,0.92034,0.9555,0.76355,0.64475,0.49935,0.91163,0.00071806,0.00071806,0.00071806
48,4336.76,0.70522,0.47067,0.95969,0.93944,0.92686,0.96473,0.77344,0.63853,0.50007,0.90745,0.000697431,0.000697431,0.000697431
49,4425.86,0.698,0.46211,0.95322,0.9406,0.9359,0.96967,0.7743,0.62931,0.43888,0.91076,0.000676802,0.000676802,0.000676802
50,4515.71,0.69036,0.46124,0.9502,0.94259,0.90452,0.95456,0.76824,0.64199,0.5144,0.9174,0.000656173,0.000656173,0.000656173
51,4604.94,0.68907,0.44881,0.94417,0.95487,0.93875,0.97113,0.78197,0.63208,0.45725,0.90923,0.000635544,0.000635544,0.000635544
52,4695.08,0.68092,0.4507,0.93871,0.94735,0.9227,0.9686,0.78349,0.64117,0.52875,0.92057,0.000614915,0.000614915,0.000614915
53,4785.21,0.67046,0.44803,0.94361,0.95742,0.93567,0.97338,0.77868,0.65649,0.94793,0.92837,0.000594286,0.000594286,0.000594286
54,4874.84,0.65874,0.43894,0.93513,0.92284,0.91332,0.95351,0.76814,0.65163,0.5345,0.91803,0.000573656,0.000573656,0.000573656
55,4964.15,0.65865,0.4293,0.93181,0.93169,0.93864,0.9698,0.775,0.67164,0.52219,0.94554,0.000553027,0.000553027,0.000553027
56,5053.77,0.66538,0.43717,0.93841,0.92808,0.93163,0.96575,0.78083,0.6262,0.45473,0.90304,0.000532398,0.000532398,0.000532398
57,5143.49,0.65664,0.42309,0.93436,0.95274,0.93134,0.96781,0.78165,0.62867,0.42924,0.9004,0.000511769,0.000511769,0.000511769
58,5233.28,0.65788,0.43449,0.93698,0.91375,0.9278,0.94981,0.76748,0.63788,0.55706,0.91253,0.00049114,0.00049114,0.00049114
59,5322.75,0.65102,0.42627,0.93466,0.95069,0.92509,0.96906,0.7826,0.62671,0.43202,0.90336,0.000470511,0.000470511,0.000470511
60,5412.39,0.63792,0.42211,0.93138,0.94231,0.9281,0.96137,0.78048,0.61468,0.39663,0.89721,0.000449882,0.000449882,0.000449882
