epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29348,1.40826,2.35142,1.43658,0.90263,0.12706,0.54302,0.30298,1.29815,2.79042,1.43053,0.000544553,0.000544553,0.000544553
2,15.7336,1.37399,1.65087,1.43967,0.50818,0.79934,0.66246,0.40871,1.13445,1.86243,1.4583,0.0010866,0.0010866,0.0010866
3,21.4213,1.38943,1.53578,1.44184,0.76059,0.82339,0.82365,0.51106,1.2623,1.71963,1.50586,0.0016149,0.0016149,0.0016149
4,26.9935,1.41809,1.4975,1.4619,0.78956,0.77451,0.79073,0.48738,1.28421,1.96084,1.72067,0.00160511,0.00160511,0.00160511
5,32.826,1.42866,1.48535,1.49196,0.83423,0.7511,0.8449,0.54813,1.24901,2.07142,1.57538,0.00158448,0.00158448,0.00158448
6,38.5402,1.38393,1.38664,1.47459,0.87956,0.76084,0.85245,0.53657,1.3596,1.4886,1.66691,0.00156385,0.00156385,0.00156385
7,43.8737,1.34117,1.27585,1.42645,0.85029,0.78954,0.86381,0.55906,1.20833,1.51039,1.6404,0.00154323,0.00154323,0.00154323
8,49.3223,1.35977,1.32375,1.46816,0.86796,0.84283,0.90147,0.57958,1.16818,1.27961,1.48942,0.0015226,0.0015226,0.0015226
9,55.2978,1.29768,1.25439,1.37926,0.82187,0.87083,0.8635,0.56818,1.19747,1.3213,1.49975,0.00150197,0.00150197,0.00150197
10,60.6415,1.27959,1.22526,1.38976,0.86483,0.82105,0.86198,0.51249,1.47991,1.36601,1.59471,0.00148134,0.00148134,0.00148134
11,65.8993,1.28164,1.16638,1.38168,0.8622,0.8587,0.89629,0.58004,1.20561,1.11781,1.56498,0.00146071,0.00146071,0.00146071
12,71.0747,1.26431,1.09278,1.36475,0.8586,0.87388,0.89488,0.60148,1.13995,1.10079,1.41926,0.00144008,0.00144008,0.00144008
13,76.1969,1.21697,1.05533,1.34724,0.91828,0.85916,0.93968,0.62904,1.13027,0.91875,1.37581,0.00141945,0.00141945,0.00141945
14,81.4555,1.24904,1.04914,1.36468,0.85953,0.88062,0.91379,0.61423,1.15971,1.06994,1.40515,0.00139882,0.00139882,0.00139882
15,86.6024,1.25854,1.02979,1.35945,0.87073,0.85465,0.90789,0.6177,1.10994,1.01106,1.37623,0.00137819,0.00137819,0.00137819
16,92.0118,1.19738,1.05791,1.34104,0.92033,0.86565,0.93547,0.64222,1.05621,0.86314,1.39207,0.00135756,0.00135756,0.00135756
17,97.2992,1.21828,1.02441,1.32678,0.93254,0.87773,0.94738,0.61599,1.15398,0.93148,1.43869,0.00133693,0.00133693,0.00133693
18,102.333,1.20436,0.95519,1.30141,0.90803,0.93027,0.94551,0.66032,1.0561,0.79994,1.36497,0.0013163,0.0013163,0.0013163
19,107.319,1.22091,0.98151,1.33303,0.93107,0.88276,0.95186,0.64871,1.11197,0.90771,1.40065,0.00129568,0.00129568,0.00129568
20,112.235,1.20333,0.98541,1.31277,0.91736,0.93453,0.93309,0.64846,1.05804,0.86739,1.3519,0.00127505,0.00127505,0.00127505
21,117.16,1.18749,0.92921,1.31748,0.90681,0.91848,0.955,0.67371,1.03759,0.82133,1.32021,0.00125442,0.00125442,0.00125442
22,122.373,1.14227,0.89116,1.30466,0.90314,0.91044,0.93097,0.64425,1.07322,0.7661,1.35109,0.00123379,0.00123379,0.00123379
23,127.403,1.12911,0.87077,1.27676,0.92398,0.88274,0.94194,0.64032,1.13994,0.80609,1.41285,0.00121316,0.00121316,0.00121316
24,132.405,1.17861,0.95977,1.35122,0.89235,0.94058,0.95323,0.65086,1.06255,0.79064,1.36498,0.00119253,0.00119253,0.00119253
25,138.248,1.12909,0.89013,1.30583,0.95044,0.87214,0.95115,0.6481,1.16866,0.76262,1.42075,0.0011719,0.0011719,0.0011719
26,143.45,1.14335,0.90919,1.29597,0.88735,0.91207,0.93943,0.66105,1.04235,0.80893,1.31355,0.00115127,0.00115127,0.00115127
27,148.696,1.1109,0.87195,1.28636,0.9386,0.9286,0.96149,0.66376,1.02669,0.77605,1.30344,0.00113064,0.00113064,0.00113064
28,153.861,1.12383,0.85567,1.2887,0.89588,0.91339,0.93643,0.66301,1.05562,0.74668,1.38878,0.00111001,0.00111001,0.00111001
29,159.12,1.12689,0.8388,1.28436,0.91303,0.91221,0.95773,0.63442,1.16992,0.78886,1.38605,0.00108938,0.00108938,0.00108938
30,164.586,1.13805,0.8477,1.30202,0.94673,0.93131,0.97053,0.69315,1.01579,0.66646,1.27138,0.00106876,0.00106876,0.00106876
31,170.15,1.09501,0.81697,1.25454,0.90556,0.93249,0.95947,0.67933,1.03811,0.65303,1.32965,0.00104813,0.00104813,0.00104813
32,175.704,1.11021,0.82336,1.27809,0.93769,0.9452,0.96305,0.6505,1.09062,0.68973,1.36998,0.0010275,0.0010275,0.0010275
33,180.947,1.11233,0.85263,1.27797,0.92363,0.94122,0.94637,0.66498,1.04636,0.6637,1.34349,0.00100687,0.00100687,0.00100687
34,185.991,1.06903,0.8235,1.24766,0.93324,0.9452,0.95855,0.67993,1.03717,0.63084,1.32362,0.000986239,0.000986239,0.000986239
35,191.062,1.08911,0.77877,1.25818,0.92552,0.95252,0.95663,0.67199,1.03929,0.65546,1.32696,0.00096561,0.00096561,0.00096561
